BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,MAGNITUDE_TYPE,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON
01/01/2021,1540,Thunderstorm Wind,50.00," ",EG,01/01/2021,1550,33.22,-83.35
01/06/2021,1730,Thunderstorm Wind,50.00," ",EG,01/06/2021,1730,29.44,-95.38
01/06/2021,2000,Thunderstorm Wind,50.00," ",EG,01/06/2021,2000,30.2,-93.58
01/06/2021,2250,Thunderstorm Wind,50.00," ",EG,01/06/2021,2250,30.28,-91.9
01/12/2021,2300,Thunderstorm Wind,70.00," ",MG,01/13/2021,100,45.72,-122.04
01/12/2021,2312,Thunderstorm Wind,70.00," ",MG,01/13/2021,12,44.92,-123.47
01/13/2021,1,Thunderstorm Wind,68.00," ",MG,01/13/2021,301,46.34,-123.08
01/25/2021,0,Thunderstorm Wind,52.00," ",MG,01/25/2021,0,33.63,-99.3
01/25/2021,2,Thunderstorm Wind,75.00," ",EG,01/25/2021,2,33.6,-99.26
01/25/2021,631,Thunderstorm Wind,50.00," ",EG,01/25/2021,631,31.88,-97.08
01/25/2021,703,Thunderstorm Wind,61.00," ",EG,01/25/2021,710,32.2306,-96.4668
01/25/2021,735,Thunderstorm Wind,40.00," ",EG,01/25/2021,735,32.54,-95.88
01/25/2021,748,Thunderstorm Wind,52.00," ",EG,01/25/2021,748,33.9014,-94.7383
01/25/2021,1010,Thunderstorm Wind,52.00," ",EG,01/25/2021,1010,33.6638,-93.6652
01/25/2021,1145,Thunderstorm Wind,55.00," ",EG,01/25/2021,1145,36.87,-86.35
01/25/2021,1226,Thunderstorm Wind,48.00," ",EG,01/25/2021,1226,36.62,-87.1431
01/25/2021,1320,Thunderstorm Wind,43.00," ",EG,01/25/2021,1320,32.5087,-111.9469
01/25/2021,1325,Thunderstorm Wind,48.00," ",EG,01/25/2021,1325,33.4793,-112.4107
01/25/2021,1329,Thunderstorm Wind,61.00," ",EG,01/25/2021,1329,33.4996,-112.3552
01/25/2021,1336,Thunderstorm Wind,52.00," ",EG,01/25/2021,1336,33.59,-112.29
01/25/2021,1340,Thunderstorm Wind,52.00," ",EG,01/25/2021,1340,33.51,-112.24
01/25/2021,1340,Thunderstorm Wind,52.00," ",EG,01/25/2021,1340,33.5728,-112.1881
01/25/2021,1340,Thunderstorm Wind,56.00," ",EG,01/25/2021,1341,33.63,-112.12
01/25/2021,1340,Thunderstorm Wind,51.00," ",EG,01/25/2021,1340,36.756,-86.0382
01/25/2021,1345,Thunderstorm Wind,52.00," ",EG,01/25/2021,1345,33.61,-112.13
01/25/2021,1345,Thunderstorm Wind,52.00," ",EG,01/25/2021,1345,33.37,-111.8
01/25/2021,1349,Thunderstorm Wind,49.00," ",MG,01/25/2021,1349,33.5277,-112.2972
01/25/2021,1350,Thunderstorm Wind,56.00," ",EG,01/25/2021,1350,33.57,-111.98
01/25/2021,1350,Thunderstorm Wind,61.00," ",EG,01/25/2021,1400,33.66,-112.13
01/25/2021,1353,Thunderstorm Wind,56.00," ",EG,01/25/2021,1353,33.68,-112.09
01/25/2021,1355,Thunderstorm Wind,56.00," ",EG,01/25/2021,1400,33.51,-112.09
01/25/2021,1355,Thunderstorm Wind,61.00," ",EG,01/25/2021,1400,33.608,-112.0661
